1,8,2,0.841837,0.979604,1
1,8,3,0.841942,0.979592,1
1,8,4,0.0485295,0.143938,1
1,8,5,0.0470887,0.133387,1
1,8,6,0.0469738,0.0587311,1
1,8,7,0.0469737,0.107019,1
1,8,8,0.0469738,0.0167518,1
1,8,9,0.658798,0.935326,0
1,9,0,0.853769,0.981432,1
1,9,1,0.85363,0.981293,1
1,9,2,0.853822,0.98147,1
1,9,3,0.853815,0.981442,1
1,9,4,0.0421743,0.118387,1
1,9,5,0.040873,0.109021,1
1,9,6,0.0407601,0.0472237,1
1,9,7,0.04076,0.0869259,1
1,9,8,0.0407601,0.0133531,1
1,9,9,0.681786,0.941681,0
1,10,0,0.864074,0.982989,1
1,10,1,0.863991,0.982869,1
1,10,2,0.864153,0.983029,1
1,10,3,0.864062,0.982989,1
1,10,4,0.0366193,0.0955852,1
1,10,5,0.0354472,0.0874098,1
1,10,6,0.0353381,0.0373175,1
1,10,7,0.035338,0.0692979,1
1,10,8,0.0353381,0.010474,1
1,10,9,0.702004,0.946933,0
1,11,0,0.873047,0.984309,1
1,11,1,0.873007,0.984203,1
1,11,2,0.873144,0.984349,1
1,11,3,0.872991,0.984302,1
1,11,4,0.0317718,0.075561,1
1,11,5,0.0307186,0.0685562,1
1,11,6,0.0306145,0.0288974,1
1,11,7,0.0306144,0.0540678,1
1,11,8,0.0306145,0.00806008,1
1,11,9,0.719903,0.951341,0
1,12,0,0.880928,0.985441,1
1,12,1,0.880921,0.985348,1
1,12,2,0.881038,0.985481,1
1,12,3,0.880837,0.98543,1
1,12,4,0.0275477,0.0582964,1
1,12,5,0.0266033,0.0524198,1
1,12,6,0.0265051,0.0218511,1
1,12,7,0.026505,0.0411444,1
1,12,8,0.0265051,0.00606305,1
1,12,9,0.735846,0.955091,0
1,13,0,0.887901,0.986423,1
1,13,1,0.887921,0.98634,1
1,13,2,0.888021,0.986463,1
1,13,3,0.887785,0.986408,1
1,13,4,0.0238713,0.0437288,1
1,13,5,0.0230262,0.038917,1
1,13,6,0.0229344,0.0160668,1
1,13,7,0.0229344,0.0304118,1
1,13,8,0.0229344,0.00443913,1
1,13,9,0.750125,0.958316,0
1,14,0,0.894115,0.987283,1
1,14,1,0.894155,0.987208,1
1,14,2,0.894241,0.987322,1
1,14,3,0.893978,0.987265,1
1,14,4,0.0206752,0.0317475,1
1,14,5,0.0199203,0.0279178,1
1,14,6,0.0198352,0.0114303,1
1,14,7,0.0198351,0.0217272,1
1,14,8,0.0198352,0.00314738,1
1,14,9,0.762982,0.961118,0
1,15,0,0.899685,0.988041,1
1,15,1,0.899742,0.987973,1
1,15,2,0.899816,0.988079,1
1,15,3,0.899532,0.988021,1
1,15,4,0.0178992,0.0221893,1
1,15,5,0.0172259,0.0192417,1
1,15,6,0.0171476,0.00782169,1
1,15,7,0.0171475,0.0149169,1
1,15,8,0.0171476,0.00214806,1
1,15,9,0.774614,0.963574,0
1,16,0,0.904705,0.988715,1
1,16,1,0.904775,0.988653,1
1,16,2,0.904839,0.988752,1
1,16,3,0.904541,0.988694,1
1,16,4,0.01549,0.0148369,1
1,16,5,0.0148904,0.0126567,1
1,16,6,0.0148188,0.00511276,1
1,16,7,0.0148188,0.0097749,1
1,16,8,0.0148188,0.00140134,1
1,16,9,0.785183,0.965744,0
1,17,0,0.909253,0.989318,1
1,17,1,0.909334,0.989261,1
1,17,2,0.909389,0.989354,1
1,17,3,0.90908,0.989295,1
1,17,4,0.0134007,0.00942151,1
