19,0,0.916624,1
19,1,0.916634,1
19,2,0.916573,1
19,3,0.916587,1
19,4,0.90866,1
19,5,0.908676,1
19,6,0.908611,1
19,7,0.908746,1
19,8,0.908774,1
19,9,0.916482,0
20,0,0.920081,1
20,1,0.920101,1
20,2,0.920033,1
20,3,0.920049,1
20,4,0.912794,1
20,5,0.912804,1
20,6,0.912737,1
20,7,0.912877,1
20,8,0.912881,1
20,9,0.919982,0
21,0,0.923272,1
21,1,0.923293,1
21,2,0.923227,1
21,3,0.923242,1
21,4,0.916571,1
21,5,0.916582,1
21,6,0.916518,1
21,7,0.916653,1
21,8,0.916657,1
21,9,0.923201,0
22,0,0.926222,1
22,1,0.926241,1
22,2,0.926178,1
22,3,0.926192,1
22,4,0.92004,1
22,5,0.920052,1
22,6,0.919989,1
22,7,0.920116,1
22,8,0.920123,1
22,9,0.926174,0
23,0,0.928954,1
23,1,0.928974,1
23,2,0.928913,1
23,3,0.928926,1
23,4,0.923236,1
23,5,0.923247,1
23,6,0.923181,1
23,7,0.923304,1
23,8,0.923316,1
23,9,0.928929,0
24,0,0.931495,1
24,1,0.931506,1
24,2,0.931445,1
24,3,0.931467,1
24,4,0.926188,1
24,5,0.926199,1
24,6,0.926135,1
24,7,0.926254,1
24,8,0.926264,1
24,9,0.931486,0
25,0,0.933893,1
25,1,0.933905,1
25,2,0.933846,1
25,3,0.933865,1
25,4,0.928923,1
25,5,0.928932,1
25,6,0.928872,1
25,7,0.928988,1
25,8,0.928992,1
25,9,0.933874,0
26,0,0.936214,1
26,1,0.936224,1
26,2,0.936169,1
26,3,0.936187,1
26,4,0.931466,1
26,5,0.931473,1
26,6,0.931414,1
26,7,0.931527,1
26,8,0.931532,1
26,9,0.936196,0
27,0,0.93846,1
27,1,0.938451,1
27,2,0.938413,1
27,3,0.938433,1
27,4,0.933864,1
27,5,0.933872,1
27,6,0.93381,1
27,7,0.933925,1
27,8,0.933929,1
27,9,0.938433,0
28,0,0.940629,1
28,1,0.940625,1
28,2,0.940585,1
28,3,0.940596,1
28,4,0.936183,1
28,5,0.93619,1
28,6,0.936129,1
28,7,0.936246,1
28,8,0.936208,1
28,9,0.940603,0
29,0,0.94273,1
29,1,0.942726,1
29,2,0.942685,1
29,3,0.942697,1
29,4,0.93843,1
29,5,0.938437,1
29,6,0.938377,1
29,7,0.93849,1
29,8,0.938451,1
29,9,0.942705,0
30,0,0.944763,1
30,1,0.94476,1
30,2,0.944719,1
30,3,0.944731,1
30,4,0.940604,1
30,5,0.940611,1
30,6,0.940552,1
30,7,0.940661,1
30,8,0.940625,1
30,9,0.944722,0
31,0,0.946727,1
31,1,0.946726,1
31,2,0.94666,1
31,3,0.946698,1
31,4,0.942707,1
31,5,0.942713,1
31,6,0.942657,1
31,7,0.942763,1
31,8,0.942724,1
31,9,0.946689,0
32,0,0.948626,1
32,1,0.948625,1
32,2,0.948558,1
32,3,0.9486,1
32,4,0.944741,1
32,5,0.944735,1
32,6,0.944692,1
32,7,0.944791,1
32,8,0.944753,1
32,9,0.948582,0
33,0,0.950463,1
33,1,0.95046,1
33,2,0.950396,1
33,3,0.950438,1
33,4,0.946707,1
33,5,0.946702,1
33,6,0.946627,1
33,7,0.946744,1
33,8,0.946719,1
33,9,0.950418,0
34,0,0.952236,1
34,1,0.952235,1
34,2,0.952172,1
34,3,0.952213,1
34,4,0.948606,1
34,5,0.948603,1
34,6,0.948531,1
34,7,0.948644,1
34,8,0.948613,1
34,9,0.952191,0
35,0,0.953952,1
35,1,0.95395,1
35,2,0.953888,1
35,3,0.953929,1
35,4,0.950444,1
35,5,0.95044,1
35,6,0.950371,1
35,7,0.950473,1
35,8,0.950449,1
35,9,0.953908,0
36,0,0.955606,1
36,1,0.955606,1
36,2,0.955542,1
36,3,0.955569,1
36,4,0.95222,1
36,5,0.952211,1
36,6,0.952147,1
36,7,0.952247,1
36,8,0.952224,1
36,9,0.955561,0
37,0,0.957207,1
37,1,0.957207,1
37,2,0.957142,1
37,3,0.957167,1
37,4,0.953927,1
37,5,0.953928,1
37,6,0.953866,1
37,7,0.953951,1
37,8,0.95394,1
37,9,0.957163,0
38,0,0.958751,1
38,1,0.958751,1
38,2,0.95869,1
38,3,0.958715,1
38,4,0.95558,1
38,5,0.955584,1
38,6,0.955525,1
38,7,0.955608,1
38,8,0.955596,1
38,9,0.958711,0
39,0,0.960244,1
39,1,0.960244,1
39,2,0.960183,1
39,3,0.960209,1
39,4,0.957181,1
39,5,0.957181,1
39,6,0.957126,1
39,7,0.957209,1
39,8,0.957196,1
39,9,0.960205,0
40,0,0.961686,1
40,1,0.961683,1
40,2,0.961626,1
40,3,0.961648,1
40,4,0.958725,1
40,5,0.958725,1
